本钱,1
就够,2
凑,4
字数,6
字,31
选菜区,1
飞虫,1
好点,10
菜种,1
∩,2
预定,15
多样,11
班级,2
长期,9
再接再厉,3
茼蒿,5
八卦,1
形,1
灰常好,1
酸奶,33
好极了,6
爸爸,3
五岁,1
甜酒,2
小米粥,1
三大,1
一小,6
三张,1
只付,1
很会,2
做生意,3
鱿鱼,28
墨鱼,8
牙,1
五份,3
份,12
翅,7
个样,1
调味品,2
调,3
负责,4
带走,2
捡,1
吧台,2
表扬,6
嘻嘻哈哈,4
叫加,1
提了,1
一壶,1
白开水,2
一如,9
即往,4
补充,4
不狗,1
团结,1
党,3
到家,1
高峰,2
里算,1
改善,12
卫生间,1
好脏,1
杂物,1
堆放,1
漂浮,1
油花花,1
饮品,10
边聊边,1
太咸,2
差强人意,1
饭后,1
很甜,5
爱理不理,4
心情,8
无限,1
很爽,10
十多个,1
样品,2
网购,2
花样,4
脾气,2
好凶,1
饱饱,11
⊙,4
江湖,1
系列,2
实验室,1
油炸,2
肉类,22
另加,2
家里人,4
小宝宝,1
想换,1
积分,6
昨天,10
商城,1
兑,1
物品,1
有油,1
畅饮,2
吃点,3
麻酱,2
烧烤,23
优点,4
气,1
小聚,6
闹,2
现炸现,1
满身,2
暖洋洋,1
热乎乎,2
秩序,1
发了,1
回头,5
算够,1
哈吃,1
整洁,8
亮堂,1
这段话,3
复制,2
复制到,2
玩耍,1
顶顶顶,5
家去,2
全家人,2
费贵,2
哥们,1
冰冻,4
下锅,2
型,1
拥挤,4
爆棚,2
第二轮,1
酱,6
饭点,5
人多时,2
忙不过来,9
鲜美,17
娃肉,1
红酒,9
洗,2
油碟费,2
很不纯,1
吃不下,4
卤味,1
多点儿,1
恐怖,1
奇怪,4
虫子,3
O,1
很鲜,14
超高,7
地沟油,1
黑黑的,1
爆满,3
接近,2
小时,22
生意兴隆,13
有点咸,10
很差,3
扣,2
66666,1
优势,4
十几个,2
傻,1
狍子,1
好开心,1
补齐,1
周三,2
太坑,1
熟菜,1
辣到,2
直,3
前几次,2
强力,2
海鲜,113
服,3
劲,2
泡菜,7
很近,13
散步,1
赞赞,7
赞赞赞,4
长大,1
闺蜜,8
说走就走,1
旅程,1
意大利,5
梦想,1
遥远,1
愿望,1
日子,1
红红火火,2
.....,4
十八,3
180,3
相当于,3
十块,2
免,1
色香味,5
俱佳,2
端菜,4
鸭,6
血,5
三份,2
bu,1
 ,2
neng,1
灰,1
常有,1
吸引,4
鼓,1
偷工减料,1
苹果,6
道路,1
甘,1
灰常灰常,1
强烈建议,1
送餐,1
图个,2
清静,2
上渝宗,1
睡渝宗,1
老肉,5
抵用,3
700,2
精致,10
老婆,6
慢爽,1
环境卫生,10
老巴适,1
惊呆,1
32,2
个赞,2
更是,2
传菜员,1
好萌,1
已来,1
热衷于,1
不论是,1
最棒,1
貌似,6
受欢迎,2
高大,14
格调,3
空气,4
巴士,2
最烦,1
是非,1
清净,3
喧闹,1
亲,1
滑,10
机器,3
紧到,1
好人,2
好慢,1
算错,1
狠狠,1
狠,2
足有,1
上涨,1
198,3
248,1
估计,17
用卷,3
科学,3
很受,1
流失,1
孃,8
四人团,1
引进,1
好多钱,1
五百多,1
店堂,2
暖心,1
春节,5
犹豫,2
古香古色,1
桌椅,2
擦,3
湿巾,1
纸,5
脏,3
一行,3
海得,1
临走,1
一件,2
结账,5
176,1
发票,5
平衡,1
原谅,1
总评,1
一颗,1
星,3
离爱尚,1
逛哈,1
腰花,6
红汤够,2
麻够,2
新颖,2
爆,7
昏汤,1
挺巴适,1
麻辣味,3
禾,1
庄和渝宗,1
两家,2
违反,1
佳,6
晓得,8
娃儿,5
道个,1
歉,1
幸好,3
大碍,1
请客,7
写,11
十五,9
辛苦,2
三次,5
象,1
温暖,2
比渝和庄,2
黑个,1
鸭血,5
七八个,2
大写,2
得赞,1
很值,5
竹笋,6
挺脆,1
古色古香,2
人加,2
老板娘,29
五分,5
男服务员,1
笑容,1
不厌其烦,1
掺水,2
打饭,1
回家,10
次团,1
多份,1
银耳,2
人餐够,1
三口,5
介绍,10
古装,1
菜太多,3
碟子,2
打烂,1
会常去,2
交易,4
成功,3
太麻,1
超好,20
几天,5
总的说,1
预订,5
同价位,3
190,1
菜单,5
收银台,3
电脑,1
爱点,1
讲,5
藕片,9
打包带,2
辣惨,1
挺棒,2
璧,1
山下,1
暴雨,1
趟水,1
前去,3
世界,3
懂得,1
餐具,4
石磨,1
憨,1
哈胀,1
菜式,6
整足,1
撒,3
垫,1
冰块,2
不开森,1
惨,10
比名,1
豪,1
总得,1
牛肝,15
改变,5
价优,1
清幽,1
远眺,1
惬意,3
团渝宗,1
大刀,1
宗老灶,2
快菜量,1
海带,9
赞不绝口,2
0.0,1
鱼鳅,2
子,9
母锅,1
试试看,2
保质保量,1
好几个,5
忙前忙后,1
冷淡,1
小馆,1
馆,4
调调,1
得主,1
城,4
浑,1
停车,19
稍少,2
太低,2
下图,1
帅哥,14
七夕节,1
少来,1
小菜,10
五片,1
30,5
就定,2
真理,1
不说,1
碗,7
机不可失,1
失不再来,1
148,1
較,1
環境,1
服務態度,1
节假日,3
节日,2
忙,7
情况,4
希,1
双碑,1
别搞,1
辣勒,1
味美菜,1
厅堂,1
曲折,1
请问,2
路,4
大门,2
连续,1
传统,3
哗众取宠,1
朴素,1
路线,1
店店,1
档次,6
40,2
物有所值,2
很淡,1
一试,9
没次,2
逛,2
完砂,1
船,1
没空,1
理,1
很巴实,1
80,4
团到,1
正餐,1
绕,1
一下子,1
招,1
每份,3
爷爷奶奶,2
好多好多,5
逛公园,1
消食,1
预约,15
购价,3
涨得,2
国庆节,1
听说,10
只想去,1
三人,3
贵些,1
大门口,2
道,3
远,9
爸妈,8
全家,6
挑剔,3
自行,1
体会,1
天呐,1
Q,4
频率,1
有美团,1
一副,2
给钱,1
打折扣,1
比较满意,12
路过,4
之间,2
还常,1
穿来穿去,1
头发,10
一身,1
挡不住,1
需,2
努力,5
有好有坏,2
有个,13
